Timestamp,Vehicle_ID,Stop_Intersection,Stop_Passengers,Requested_Stop_Intersection
1380949200,83,2767,0,2764
1380949200,89,3070,0,1818
1380949200,112,97,0,972
1380949200,121,215,0,396
1380949200,141,1314,0,1237
1380949200,142,1464,0,2291
1380949200,185,1323,0,3737
1380949200,194,3791,0,4318
1380949200,210,1902,0,1908
1380949200,211,1323,0,1328
1380949200,213,4297,0,4292
1380949200,267,1471,0,4284
1380949200,323,3769,0,3595
1380949200,330,3501,0,1581
1380949200,332,3515,0,2536
1380949200,348,4165,0,4307
1380949200,353,2224,0,2196
1380949200,361,2045,0,3246
1380949200,388,4172,0,4307
1380949200,413,1057,0,3089
1380949200,420,3331,0,3320
1380949200,421,3881,0,241
1380949200,452,460,0,2006
1380949200,485,1888,0,1897
1380949200,495,1350,0,1336
1380949202,464,2506,0,1032
1380949205,28,119,0,3514
1380949205,94,877,0,726
1380949206,456,4066,0,1644
1380949209,0,246,0,2147
1380949209,72,3082,0,606
1380949209,153,1666,0,1423
1380949209,201,2003,0,1225
1380949209,369,2075,0,2075
1380949209,369,2075,1,2075
1380949210,4,935,0,2648
1380949211,137,1116,0,3132
1380949211,175,772,0,4282
1380949214,428,2818,0,811
1380949216,338,4397,0,2259
1380949215,390,3631,0,3674
1380949217,77,1044,0,2265
1380949219,46,2023,0,3586
1380949218,70,2607,0,3274
1380949220,81,292,0,334
1380949220,144,474,0,2647
1380949220,387,2174,0,476
1380949223,186,3545,0,1601
1380949223,283,2573,0,249
1380949226,84,1870,0,2094
1380949226,295,2500,0,2505
1380949227,178,3767,0,1738
1380949227,244,1241,0,1241
1380949227,244,1241,1,1241
1380949228,432,718,0,3631
1380949229,199,3762,0,3078
1380949230,473,1039,0,720
1380949231,55,2409,0,4337
1380949231,180,214,0,3519
1380949234,368,3617,0,2762
1380949235,417,3795,0,3795
1380949235,417,3795,1,3795
1380949235,417,3795,0,3794
1380949237,196,2457,0,2457
1380949237,196,2457,1,2457
1380949237,306,3704,0,240
1380949238,336,3562,0,3562
1380949238,336,3562,1,3562
1380949238,369,229,0,229
1380949238,369,229,1,229
1380949239,117,3830,0,2660
1380949239,322,1241,0,2355
1380949244,68,1872,0,2483
1380949246,113,1738,0,1738
1380949246,113,1738,1,1738
1380949247,424,3732,0,3382
1380949250,419,2230,0,2193
1380949252,353,2224,1,2196
1380949251,386,2761,0,2759
1380949251,397,2853,0,2853
1380949251,397,2853,1,2853
1380949254,262,2457,0,2457
1380949254,262,2457,1,2457
1380949255,332,3515,1,2536
1380949255,183,4344,0,4344
1380949255,183,4344,1,4344
1380949256,421,3881,1,241
1380949257,288,2563,0,2565
1380949257,362,3258,0,3230
1380949260,67,2826,0,2827
1380949260,97,3274,0,3322
1380949260,146,472,0,472
1380949260,146,472,1,472
1380949260,177,2826,0,2031
1380949260,243,2874,0,20
1380949260,273,3048,0,6
1380949260,305,126,0,2115
1380949260,311,3929,0,3499
1380949260,343,1512,0,1639
1380949260,367,2017,0,2020
1380949260,375,2367,0,1185
1380949260,382,2682,0,2248
1380949260,385,699,0,24
1380949260,412,97,0,3140
1380949260,418,4335,0,778
1380949260,459,3133,0,2228
1380949260,478,2248,0,24
1380949260,490,692,0,634
1380949261,280,2008,0,2014
1380949262,288,2563,1,2565
1380949262,166,3181,0,3181
1380949262,166,3181,1,3181
1380949262,379,3611,0,2289
1380949265,94,877,1,726
1380949265,8,3915,0,267
1380949265,332,3519,-1,2849
1380949267,196,256,0,248
1380949267,284,719,0,4326
1380949268,7,1458,0,4333
1380949269,87,487,0,3064
1380949269,308,3127,0,3124
1380949270,247,1612,0,3097
1380949271,398,1177,0,4195
1380949273,105,3475,0,3295
1380949273,155,4303,0,3380
1380949274,428,2818,1,811
1380949276,123,3699,0,3698
1380949276,123,3699,1,3698
1380949277,64,1903,0,4064
1380949277,74,1407,0,1408
1380949277,74,1407,1,1408
1380949279,342,2928,0,2922
1380949280,245,3188,0,1389
1380949281,262,1405,0,1404
1380949281,262,1405,1,1404
1380949282,108,2356,0,2361
1380949282,166,3186,0,3188
1380949282,166,3186,1,3188
1380949282,429,3199,0,3199
1380949282,429,3199,1,3199
1380949282,429,3199,0,3199
1380949282,429,3199,1,3199
1380949285,473,1039,1,720
1380949286,456,4066,1,1644
1380949290,76,3735,0,1519
1380949291,118,3501,0,3501
1380949291,118,3501,1,3501
1380949291,130,1261,0,1261
1380949291,130,1261,1,1261
1380949291,183,4326,0,3426
1380949292,95,3211,0,3213
1380949292,136,1044,0,2391
1380949292,231,3358,0,3363
1380949292,336,3604,0,3118
1380949292,336,3604,1,3118
1380949293,58,2570,0,2147
1380949293,58,2570,1,2147
1380949294,20,3520,0,2851
1380949294,20,3520,1,2851
1380949294,481,2504,0,4346
1380949294,481,2504,1,4346
1380949296,35,2891,0,2890
1380949296,35,2891,1,2890
1380949296,54,3308,0,1869
1380949296,253,2644,0,2644
1380949296,253,2644,1,2644
1380949297,74,1405,0,3208
1380949297,162,3055,0,1883
1380949297,304,2965,0,2959
1380949298,379,3611,1,2289
1380949298,233,1237,0,3089
1380949300,136,1044,1,2391
1380949300,9,3486,0,3490
1380949302,42,3550,0,3550
1380949302,42,3550,1,3550
1380949302,321,875,0,984
1380949303,472,3721,0,4254
1380949305,35,2893,0,4302
1380949305,113,1640,0,1629
1380949305,113,1640,1,1629
1380949306,183,4326,1,3426
1380949305,449,1080,0,3790
1380949306,161,4344,0,4346
1380949306,411,864,0,1154
1380949307,203,567,0,696
1380949307,366,492,0,2823
1380949308,436,1558,0,1558
1380949308,436,1558,1,1558
1380949309,353,467,0,3519
1380949309,353,467,1,3519
1380949310,456,2331,0,1482
